"Ticker";"Qtd";"Valor R$ 31/12/2024";"Discriminação";"Cnpj"
"RDNT";0.685;"0,43";"SALDO DE 0,685 RDNT CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"TIA";0.00780375;"0,34";"SALDO DE 0,00780375 TIA CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"USDC";0.03590639;"0,00";"SALDO DE 0,03590639 USDC CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"AVAX";0.00094;"0,17";"SALDO DE 0,00094 AVAX CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"BB";0.0695;"0,17";"SALDO DE 0,0695 BB CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"ALGO";0.084;"0,08";"SALDO DE 0,084 ALGO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"AVA";0.0173;"0,04";"SALDO DE 0,0173 AVA CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"FARM";0.000401;"0,13";"SALDO DE 0,000401 FARM CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"SOL";9.2e-05;"0,13";"SALDO DE 0,000092 SOL CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"UNI";0.0009;"0,04";"SALDO DE 0,0009 UNI CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"PYTH";0.0333;"0,08";"SALDO DE 0,0333 PYTH CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"FIL";0.00236;"0,06";"SALDO DE 0,00236 FIL CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"C98";0.0302;"0,05";"SALDO DE 0,0302 C98 CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"VET";0.0955;"0,01";"SALDO DE 0,0955 VET CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"ENA";0.00451834;"0,02";"SALDO DE 0,00451834 ENA CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"ASTR";0.0625;"0,04";"SALDO DE 0,0625 ASTR CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"APT";0.00036;"0,02";"SALDO DE 0,00036 APT CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"AEVO";0.00849;"0,06";"SALDO DE 0,00849 AEVO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"MOB";0.0049;"0,00";"SALDO DE 0,0049 MOB CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"ALICE";0.00168;"0,02";"SALDO DE 0,00168 ALICE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"DOT";0.00024;"0,01";"SALDO DE 0,00024 DOT CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"BOME";0.16;"0,01";"SALDO DE 0,16 BOME CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"RSR";0.0743;"0,00";"SALDO DE 0,0743 RSR CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"GNS";0.00015;"0,00";"SALDO DE 0,00015 GNS CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"FLOKI";0.56;"0,00";"SALDO DE 0,56 FLOKI CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"XEC";0.73;"0,00";"SALDO DE 0,73 XEC CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"SHIB";0.24;"0,00";"SALDO DE 0,24 SHIB CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"BONK";0.16;"0,00";"SALDO DE 0,16 BONK CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"DOG";708200.0;"15261,72";"SALDO DE 708200 DOG CUSTODIADO NA EXCHANGE BINGX EM 31/12/2024.";""
"SUI";1005.633861;"11094,53";"SALDO DE 1005,633861 SUI CUSTODIADO NA EXCHANGE BINGX EM 31/12/2024.";""
"ONDO";2282.14294105;"9189,30";"SALDO DE 2282,14294105 ONDO CUSTODIADO NA EXCHANGE BINGX EM 31/12/2024.";""
"AERO";1964.76873062;"12432,77";"SALDO DE 1964,76873062 AERO CUSTODIADO NA EXCHANGE BINGX EM 31/12/2024.";""
"PUPS";254.2280648;"23102,87";"SALDO DE 254,2280648 PUPS CUSTODIADO NA EXCHANGE BINGX EM 31/12/2024.";""
"NAKA";246.5;"1030,47";"SALDO DE 246,5 NAKA CUSTODIADO NA EXCHANGE BINGX EM 31/12/2024.";""
"CORE";197.15265;"1106,62";"SALDO DE 197,15265 CORE CUSTODIADO NA EXCHANGE BINGX EM 31/12/2024.";""
"ARTY";238.19157;"817,29";"SALDO DE 238,19157 ARTY CUSTODIADO NA EXCHANGE BINGX EM 31/12/2024.";""
"USDT";24.3907990342;"94,45";"SALDO DE 24,39079903 USDT CUSTODIADO NA EXCHANGE BINGX EM 31/12/2024.";""
"NOT";56.7092;"2,04";"SALDO DE 56,7092 NOT CUSTODIADO NA EXCHANGE BINGX EM 31/12/2024.";""
"DOGS";274.2353;"1,16";"SALDO DE 274,2353 DOGS CUSTODIADO NA EXCHANGE BINGX EM 31/12/2024.";""
"TOSHI";0.867;"0,00";"SALDO DE 0,867 TOSHI CUSTODIADO NA EXCHANGE BINGX EM 31/12/2024.";""
"JUP";2.1e-05;"0,00";"SALDO DE 0,000021 JUP CUSTODIADO NA EXCHANGE BINGX EM 31/12/2024.";""
"VST";100000.0;"0,00";"SALDO DE 100000 VST CUSTODIADO NA EXCHANGE BINGX EM 31/12/2024.";""
"TONCOIN";122.547;"3413,89";"SALDO DE 122,547 TONCOIN CUSTODIADO NA EXCHANGE BINGX EM 31/12/2024.";""
"BTC";1.6563779;"311839,89";"SALDO DE 1,6563779 BTC CUSTODIADO NA REDE ZTDENVKQMR2 EM 31/12/2024.";""
"BTC";0.98267836;"185005,07";"SALDO DE 0,98267836 BTC CUSTODIADO NA REDE DRIMDKPA82XAFBF EM 31/12/2024.";""
"BTC";1.25633206;"236524,80";"SALDO DE 1,25633206 BTC CUSTODIADO NA REDE VUV5SKCMY EM 31/12/2024.";""
"BTC";0.18613708;"35043,31";"SALDO DE 0,18613708 BTC CUSTODIADO NA REDE WSGGGYJTBYYT EM 31/12/2024.";""
"BTC";0.4604869;"86694,10";"SALDO DE 0,4604869 BTC CUSTODIADO NA REDE L7ZYFGNPIVQ EM 31/12/2024.";""
"DOG";176294.7454103524;"3799,16";"SALDO DE 176294,74541035 DOG CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
