"asset";"total_quantity";"total_cost_brl";"total_value_brl";"description"
"STAPT (Amnis Staked Apto...)";0.94731704;36.67;57.05;"@ R$60.22 per STAPT"
"VAPT (Aptos Coin)";1.0;36.38;53.91;"@ R$53.91 per VAPT"
"USDC (USD Coin)";7.59307013;44.47;47.04;"@ R$6.20 per USDC"
"OSMO (Osmosis)";11.642325;30.15;31.43;"@ R$2.70 per OSMO"
"TIA (Celestia)";1.0496552;30.16;30.32;"@ R$28.89 per TIA"
"DOODOO (Doodoo)";12.88284737;40.65;19.25;"@ R$1.49 per DOODOO"
"SKYA (Sekuya Multiverse)";171.8726;20.78;17.11;"@ R$0.10 per SKYA"
"USDC.E (USD Coin (bridged...)";1.388378;0.0;8.6;"@ R$6.20 per USDC.E"
"WBTC (Wrapped Bitcoin)";1.216e-05;3.33;7.06;"@ R$580,485.36 per WBTC"
"PENDLE (Pendle)";0.21258695;0.0;6.48;"@ R$30.46 per PENDLE"
"UPTOS (UPTOS)";33047.35947313;4.06;3.7;"@ R$0.00 per UPTOS"
"BGB (Bitget Token)";0.0540515;0.36;2.05;"@ R$38.00 per BGB"
"$CWIF (catwifhat)";768000.0;1.45;1.24;"@ R$0.00 per $CWIF"
"SOLCEX (SolCex)";11.7117;1.34;1.02;"@ R$0.09 per SOLCEX"
"KNINE (K9 Finance)";31075.0;1.09;0.94;"@ R$0.00 per KNINE"
"SHIB (SHIBA INU)";3606.77;0.6;0.48;"@ R$0.00 per SHIB"
"FTM (Fantom)";0.09960391;0.75;0.42;"@ R$4.17 per FTM"
"ALICE (MyNeighborAlice)";0.051592;0.47;0.36;"@ R$6.91 per ALICE"
"MKR (Maker)";2.482e-05;0.0;0.23;"@ R$9,260.22 per MKR"
"ANKR (Ankr Network)";0.79642112;0.19;0.17;"@ R$0.21 per ANKR"
"MATIC (Polygon)";0.04629183;0.03;0.13;"@ R$2.81 per MATIC"
"CORE (Core DAO)";0.00608;0.05;0.04;"@ R$6.57 per CORE"
"WEETH (Wrapped eETH)";9.7e-07;0.02;0.02;"@ R$21,912.05 per WEETH"
"BRZ (Brazilian Digital...)";0.01961;0.02;0.02;"@ R$0.99 per BRZ"
"MNT (Mantle)";0.00044711;0.0;0.0;"@ R$7.73 per MNT"
"G (Gravity)";0.004496;0.0;0.0;"@ R$0.19 per G"
"DEFI (DeFi)";0.00063;0.0;0.0;"@ R$0.14 per DEFI"
"$MICHI (michi (sol))";1e-06;0.0;0.0;"@ R$0.68 per $MICHI"
"WIN (WINk)";5e-07;0.0;0.0;"@ R$0.00 per WIN"
"SANIC (SANIC)";1831893.49211653;5778.27;0.0;"@ R$0.00 per SANIC"
"OPK (Obi PNut Kenobi)";429973.691754;4383.83;0.0;"@ R$0.00 per OPK"
"ANZ (Anzen Token)";180997.10289563;131.07;0.0;"@ R$0.00 per ANZ"
"DEGENAI (Degen Spartan AI)";2294.700941;1142.96;0.0;"@ R$0.00 per DEGENAI"
"UNI-V3-POS-1649470-LIQUIDITY (UNI-V3-POS-";549.65079055;6923.39;0.0;"@ R$0.00 per UNI-V3-POS-1649470-LIQUIDITY"
"UNI-V3-POS-1640758-LIQUIDITY (UNI-V3-POS-";416.54342918;8095.72;0.0;"@ R$0.00 per UNI-V3-POS-1640758-LIQUIDITY"
"UNI-V3-POS-1649845-LIQUIDITY (UNI-V3-POS-";304.91101064;9088.93;0.0;"@ R$0.00 per UNI-V3-POS-1649845-LIQUIDITY"
