"asset";"total_quantity";"total_cost_brl";"total_value_brl";"description"
"ALGO (Algorand)";0.084;0.08;0.18;"@ R$2.09 per ALGO"
"AVA (AVA)";0.0173;0.04;0.15;"@ R$8.42 per AVA"
"FARM (Harvest Finance)";0.000401;0.13;0.12;"@ R$287.95 per FARM"
"UNI (Uniswap)";0.0009;0.04;0.07;"@ R$82.10 per UNI"
"PYTH (Pyth Network)";0.0333;0.08;0.07;"@ R$2.20 per PYTH"
"FIL (Filecoin)";0.00236;0.06;0.07;"@ R$30.96 per FIL"
"C98 (Coin98)";0.0302;0.05;0.03;"@ R$1.05 per C98"
"VET (VeChain)";0.0955;0.01;0.03;"@ R$0.27 per VET"
"ENA (Ethena)";0.00451834;0.02;0.03;"@ R$5.68 per ENA"
"ASTR (Astar)";0.0625;0.04;0.02;"@ R$0.37 per ASTR"
"APT (Aptos)";0.00036;0.02;0.02;"@ R$53.91 per APT"
"AEVO (Aevo)";0.00849;0.06;0.02;"@ R$2.25 per AEVO"
"MOB (MobileCoin)";0.0049;0.0;0.01;"@ R$2.86 per MOB"
"ALICE (MyNeighborAlice)";0.00168;0.02;0.01;"@ R$6.91 per ALICE"
"BOME (BOOK OF MEME)";0.16;0.01;0.01;"@ R$0.04 per BOME"
"RSR (Reserve Rights)";0.0743;0.0;0.01;"@ R$0.08 per RSR"
"GNS (Gains Network)";0.00015;0.0;0.0;"@ R$11.17 per GNS"
"TOSHI (Toshi)";0.86700001;0.0;0.0;"@ R$0.00 per TOSHI"
"FLOKI (Floki Inu)";0.56000001;0.0;0.0;"@ R$0.00 per FLOKI"
"LIME (iMe Lab)";0.00078532;3369.75;0.0;"@ R$0.28 per LIME"
"XEC (eCash)";0.73;0.0;0.0;"@ R$0.00 per XEC"
"SHIB (SHIBA INU)";0.24;0.0;0.0;"@ R$0.00 per SHIB"
"BONK (Bonk)";0.16;0.0;0.0;"@ R$0.00 per BONK"
"OSMO (Osmosis)";6.6e-07;0.0;0.0;"@ R$2.70 per OSMO"
"AXL (Axelar)";1e-08;0.0;0.0;"@ R$4.04 per AXL"
