"Ticker";"Qtd";"Valor R$ 31/12/2024";"Discriminação";"Cnpj"
"VIRTUAL";0.0030268;"0,06";"SALDO DE 0,0030268 VIRTUAL CUSTODIADO NA EXCHANGE GATE.IO EM 31/12/2024.";""
"SUPER";0.0078702;"0,08";"SALDO DE 0,0078702 SUPER CUSTODIADO NA EXCHANGE GATE.IO EM 31/12/2024.";""
"AITECH";0.096545;"0,02";"SALDO DE 0,096545 AITECH CUSTODIADO NA EXCHANGE GATE.IO EM 31/12/2024.";""
"PNUT";0.007737;"0,07";"SALDO DE 0,007737 PNUT CUSTODIADO NA EXCHANGE GATE.IO EM 31/12/2024.";""
"LISTA";0.0092695;"0,01";"SALDO DE 0,0092695 LISTA CUSTODIADO NA EXCHANGE GATE.IO EM 31/12/2024.";""
"USDT";0.0018553328;"0,01";"SALDO DE 0,00185533 USDT CUSTODIADO NA EXCHANGE GATE.IO EM 31/12/2024.";""
"ACT";0.005851;"0,02";"SALDO DE 0,005851 ACT CUSTODIADO NA EXCHANGE GATE.IO EM 31/12/2024.";""
"ALGO";0.0048414;"0,02";"SALDO DE 0,0048414 ALGO CUSTODIADO NA EXCHANGE GATE.IO EM 31/12/2024.";""
"HIPPO";0.020387;"0,00";"SALDO DE 0,020387 HIPPO CUSTODIADO NA EXCHANGE GATE.IO EM 31/12/2024.";""
"BTC";8e-10;"0,00";"SALDO DE 0 BTC CUSTODIADO NA EXCHANGE GATE.IO EM 31/12/2024.";""
"PYTH";0.0001506;"0,00";"SALDO DE 0,0001506 PYTH CUSTODIADO NA EXCHANGE GATE.IO EM 31/12/2024.";""
"SHIB";0.61843;"0,00";"SALDO DE 0,61843 SHIB CUSTODIADO NA EXCHANGE GATE.IO EM 31/12/2024.";""
"ETH";2e-09;"0,00";"SALDO DE 0 ETH CUSTODIADO NA EXCHANGE GATE.IO EM 31/12/2024.";""
"MAGA";0.08575;"0,00";"SALDO DE 0,08575 MAGA CUSTODIADO NA EXCHANGE GATE.IO EM 31/12/2024.";""
"DEGEN";0.0004861;"0,00";"SALDO DE 0,0004861 DEGEN CUSTODIADO NA EXCHANGE GATE.IO EM 31/12/2024.";""
"PENG";0.002697;"0,00";"SALDO DE 0,002697 PENG CUSTODIADO NA EXCHANGE GATE.IO EM 31/12/2024.";""
"USDT";0.15726199;"0,98";"SALDO DE 0,15726199 USDT CUSTODIADO NA EXCHANGE MEXC EM 31/12/2024.";""
