"Ticker";"Qtd";"Valor R$ 31/12/2024";"Discriminação";"Cnpj"
"ETH";1.2e-07;"0,00";"SALDO DE 0,00000012 ETH CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"BNB";0.0195556938;"46,06";"SALDO DE 0,01955569 BNB CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"G";0.004496;"0,00";"SALDO DE 0,004496 G CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"BTC";0.02682352;"8047,06";"SALDO DE 0,02682352 BTC CUSTODIADO NA CARTEIRA BITCOIN (BTC) NA REDE BITCOIN EM 31/12/2024.";""
"OLAS";885.78333;"7775,52";"SALDO DE 885,78333 OLAS CUSTODIADO NA EXCHANGE BITGET EM 31/12/2024.";""
"GLQ";18654.36696;"7037,07";"SALDO DE 18654,36696 GLQ CUSTODIADO NA EXCHANGE BITGET EM 31/12/2024.";""
"WOJAK";323775.9;"5206,46";"SALDO DE 323775,9 WOJAK CUSTODIADO NA EXCHANGE BITGET EM 31/12/2024.";""
"PIXEL";1581.6168;"3149,05";"SALDO DE 1581,6168 PIXEL CUSTODIADO NA EXCHANGE BITGET EM 31/12/2024.";""
"BGB";0.0540515;"0,36";"SALDO DE 0,0540515 BGB CUSTODIADO NA EXCHANGE BITGET EM 31/12/2024.";""
"BRL";0.51219261;"0,00";"SALDO DE 0,51219261 BRL CUSTODIADO NA EXCHANGE BITGET EM 31/12/2024.";""
"CORE";0.00608;"0,05";"SALDO DE 0,00608 CORE CUSTODIADO NA EXCHANGE BITGET EM 31/12/2024.";""
"USDT";0.000453077;"0,00";"SALDO DE 0,00045308 USDT CUSTODIADO NA EXCHANGE BITGET EM 31/12/2024.";""
"MAVIA";0.0002;"0,01";"SALDO DE 0,0002 MAVIA CUSTODIADO NA EXCHANGE BITGET EM 31/12/2024.";""
"USDC";8.4e-05;"0,00";"SALDO DE 0,000084 USDC CUSTODIADO NA EXCHANGE BITGET EM 31/12/2024.";""
"NEXG";3.8317476;"0,00";"SALDO DE 3,8317476 NEXG CUSTODIADO NA EXCHANGE BITGET EM 31/12/2024.";""
"BRZ";0.01961;"0,02";"SALDO DE 0,01961 BRZ CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"MNT";0.00044711;"0,00";"SALDO DE 0,00044711 MNT CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"USDT";9.857e-05;"0,00";"SALDO DE 0,00009857 USDT CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"DEFI";0.00063;"0,00";"SALDO DE 0,00063 DEFI CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"TIA";0.928064;"26,67";"SALDO DE 0,928064 TIA CUSTODIADO NA REDE CELESTIA EM 31/12/2024.";""
"ETH";0.0086616306;"197,56";"SALDO DE 0,00866163 ETH CUSTODIADO NA REDE ETHEREUM EM 31/12/2024.";""
"PT-CORN-SOLVBTC.BBN-26DEC2024";0.00791135;"0,00";"SALDO DE 0,00791135 PT-CORN-SOLVBTC.BBN-26DEC2024 CUSTODIADO NA REDE ETHEREUM EM 31/12/2024.";""
"BTC";0.00022097;"66,29";"SALDO DE 0,00022097 BTC CUSTODIADO NA EXCHANGE KUCOIN EM 31/12/2024.";""
"BRL";0.00095086;"0,00";"SALDO DE 0,00095086 BRL CUSTODIADO NA EXCHANGE KUCOIN EM 31/12/2024.";""
"USDT";0.00010396;"0,00";"SALDO DE 0,00010396 USDT CUSTODIADO NA EXCHANGE KUCOIN EM 31/12/2024.";""
"XAI";12835.0040123134;"14933,99";"SALDO DE 12835,00401231 XAI CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"ETH";0.1203227055;"2744,44";"SALDO DE 0,12032271 ETH CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"ARB";23.4349126642;"15,71";"SALDO DE 23,43491266 ARB CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"USDC";5.787967;"33,90";"SALDO DE 5,787967 USDC CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"PENDLE";0.2125869465;"0,00";"SALDO DE 0,21258695 PENDLE CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"USDT";0.324456;"1,87";"SALDO DE 0,324456 USDT CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"ZRO";2e-10;"0,00";"SALDO DE 0 ZRO CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"RDNT";1e-10;"0,00";"SALDO DE 0 RDNT CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3287987";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3287987 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3385164";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3385164 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3392798";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3392798 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3397547";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3397547 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3397769";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3397769 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3397806";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3397806 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3402374";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3402374 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3402426";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3402426 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3411679";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3411679 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3411747";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3411747 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3412331";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3412331 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3412356";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3412356 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3412510";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3412510 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3412673";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3412673 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3412934";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3412934 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3415433";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3415433 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3415534";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3415534 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3415604";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3415604 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3415731";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3415731 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3416674";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3416674 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3417256";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3417256 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3421280";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3421280 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3422403";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3422403 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3422474";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3422474 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3422549";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3422549 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3424884";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3424884 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3425887";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3425887 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3426749";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3426749 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3427369";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3427369 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3429759";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3429759 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3429812";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3429812 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3430059";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3430059 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3432360";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3432360 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3432383";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3432383 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3434178";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3434178 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3434215";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3434215 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3434232";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3434232 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3434724";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3434724 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3434736";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3434736 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3434754";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3434754 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3439529";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3439529 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3440682";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3440682 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3440687";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3440687 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3446245";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3446245 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3449141";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3449141 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3449160";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3449160 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3449170";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3449170 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3449190";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3449190 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3449202";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3449202 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3450291";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3450291 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3450328";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3450328 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3451198";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3451198 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3453837";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3453837 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
